COBERTURA_NETA,Casos_Zika,DESERCIÓN,Lluvia-14d-prev,Lluvia-21d-prev,Lluvia-7d-prev,MORTALIDAD_INFANTIL_POR_MIL_NACIDOS,NAME,NBI,POBLACIÓN_5_16,SEDES_CONECTADAS_A_INTERNET,TASA_MATRICULACIÓN_5_16
95.21,0,4.08,146,20,219,18.03,Colombia-Magdalena-Ariguani,59.22,8223,34.29,95.26
81.54,6,3.75,176,3,289,21.6,Colombia-Bolivar-Arjona,58.83,17919,71.88,81.58
74.11,0,3.18,52,19,20,19.59,Colombia-Antioquia-Armenia,39.83,950,100.0,74.11
82.88,4,4.7,75,20,33,10.83,Colombia-Quindio-Armenia,39.83,55140,70.42,82.94
88.74,0,2.45,132,18,33,20.57,Colombia-Tolima-Armero_,32.63,2567,50.0,88.74
53.91,0,1.89,176,3,289,29.51,Colombia-Bolivar-Arroyohondo,67.8,2545,100.0,53.91
83.53,3,3.53,122,55,241,34.84,Colombia-Cesar-Astrea,70.86,5579,86.11,83.53
84.4,1,3.42,60,8,31,38.11,Colombia-Tolima-Ataco,66.43,5751,13.54,84.4
48.5,0,4.2,27,51,62,40.62,Colombia-Choco-Atrato,80.11,2903,41.18,48.5
80.97,0,2.03,79,7,107,24.36,Colombia-Cordoba-Ayapel,61.55,13215,14.77,80.97
0.0,0,0.0,27,51,62,63.16,Colombia-Choco-Bagado,84.49,2361,6.82,0.0
105.2,0,6.22,3,37,59,38.61,Colombia-Choco-Bahia_Solano,30.19,2613,22.22,105.2
90.94,0,9.52,4,42,40,53.7,Colombia-Choco-Bajo_Baudo,78.28,5673,8.7,90.94
88.22,2,6.0,75,20,33,16.99,Colombia-Risaralda-Balboa,28.01,1324,60.0,88.22
58.48,1,1.37,2,94,29,21.78,Colombia-Cauca-Balboa,28.01,6093,53.73,58.48
94.24,1,1.2,157,32,191,17.83,Colombia-Atlantico-Baranoa,26.82,12141,100.0,94.28
62.33,2,5.53,60,8,31,16.72,Colombia-Huila-Baraya,100.0,2230,25.81,62.33
89.6,1,2.74,13,0,5,30.97,Colombia-Nariño-Barbacoas,73.87,11628,30.28,89.6
72.89,0,3.19,52,19,20,12.57,Colombia-Antioquia-Barbosa,18.8,11076,60.87,72.89
92.96,2,3.17,35,53,130,11.9,Colombia-Santander-Barbosa,18.8,5940,7.69,93.0
87.42,1,2.31,91,101,180,14.55,Colombia-Santander-Barichara,30.99,1526,35.0,87.42
131.84,0,0.49,20,69,235,26.64,Colombia-Meta-Barranca_de_Upia,40.21,1024,25.0,131.84
119.38,9,4.25,119,41,123,14.19,Colombia-Santander-Barrancabermeja,22.33,38851,72.22,119.59
66.57,0,2.77,201,886,189,27.34,Colombia-La_Guajira-Barrancas,54.15,9533,32.0,66.59
77.4,0,5.25,124,23,137,29.34,Colombia-Bolivar-Barranco_de_Loba,74.54,4952,21.05,77.4
115.14,0,9.49,98,25,958,40.58,Colombia-Guainia-Barranco_Minas,100.0,1420,30.77,115.14
93.18,98,1.54,157,32,191,14.72,Colombia-Atlantico-Barranquilla,17.72,242365,90.43,93.35
135.32,1,4.11,122,55,241,23.94,Colombia-Cesar-Becerril,56.51,3715,14.0,135.42
84.65,0,5.13,75,20,33,17.37,Colombia-Caldas-Belalcazar,28.78,2299,32.26,84.65
76.47,0,2.67,5,12,1,20.31,Colombia-Nariño-Belen,31.06,1330,42.86,76.47
105.43,0,1.02,22,147,140,13.66,Colombia-Boyaca-Belen,31.06,1528,16.67,105.63
69.75,2,3.39,27,25,42,22.08,Colombia-Caqueta-Belen_de_los_Andaquies,47.83,3438,17.02,69.75
75.0,2,5.63,69,0,20,16.82,Colombia-Risaralda-Belen_de_Umbria,24.07,6068,27.87,75.0
81.27,8,3.29,52,19,20,9.21,Colombia-Antioquia-Bello,10.58,92140,93.55,81.33
89.36,0,3.33,52,19,20,20.51,Colombia-Antioquia-Belmira,29.05,1636,92.86,89.36
82.32,0,3.03,132,18,33,19.17,Colombia-Cundinamarca-Beltran,33.86,475,30.0,82.32
53.75,0,0.66,35,53,130,14.53,Colombia-Boyaca-Berbeo,36.12,547,14.29,53.75
86.57,0,4.37,69,0,20,19.12,Colombia-Antioquia-Betania,31.25,2181,85.19,86.57
59.13,0,0.0,22,147,140,21.84,Colombia-Boyaca-Beteitiva,64.02,482,25.0,59.13
88.2,0,7.96,52,19,20,19.59,Colombia-Antioquia-Betulia,43.21,4153,36.59,88.2
96.48,0,1.99,91,101,180,23.82,Colombia-Santander-Betulia,43.21,1192,12.5,96.48
71.55,0,1.53,132,18,33,15.06,Colombia-Cundinamarca-Bituima,32.09,573,14.29,71.55
72.39,1,3.31,27,165,167,16.56,Colombia-Boyaca-Boavita,52.88,1398,20.0,72.39
82.41,0,6.5,119,41,123,15.08,Colombia-Norte_Santander-Bochalema,29.31,1603,16.67,82.41
81.77,0,3.63,132,18,33,13.4,Colombia-Bogota_d_C.-Bogota_D.C.,9.2,1455309,98.87,82.2
63.74,0,5.04,132,18,33,14.66,Colombia-Cundinamarca-Bojaca,20.78,2959,41.67,63.74
106.99,0,0.93,4,10,68,52.54,Colombia-Choco-Bojaya,96.03,2991,16.33,106.99
68.15,0,1.86,29,90,281,21.82,Colombia-Cauca-Bolivar,30.37,9378,36.36,68.15
92.82,0,3.33,12,48,68,21.0,Colombia-Valle_Del_Cauca-Bolivar,30.37,2787,18.52,92.82
78.34,0,4.35,35,53,130,40.03,Colombia-Santander-Bolivar,30.37,2802,13.85,78.34
89.74,0,8.08,122,55,241,18.76,Colombia-Cesar-Bosconia,50.2,10541,60.87,89.86
81.96,0,0.44,35,53,130,19.54,Colombia-Boyaca-Boyaca,51.01,1070,25.0,81.96
85.13,0,7.64,64,16,45,26.15,Colombia-Antioquia-Briceño,55.04,2111,42.11,85.13
83.13,0,2.59,35,53,130,16.52,Colombia-Boyaca-Briceño,55.04,575,12.5,83.13
99.89,27,2.93,119,41,123,10.97,Colombia-Santander-Bucaramanga,11.55,95351,95.97,100.12
92.93,0,0.45,119,41,123,23.31,Colombia-Norte_Santander-Bucarasica,64.33,1132,13.79,92.93
83.23,2,2.94,0,94,9,30.69,Colombia-Valle_Del_Cauca-Buenaventura,35.85,94529,33.03,83.49
69.1,1,1.24,108,19,155,16.27,Colombia-Boyaca-Buenavista,61.34,1327,7.69,69.1
90.0,0,8.58,75,20,33,13.84,Colombia-Quindio-Buenavista,61.34,560,0.0,90.0
88.83,0,3.81,52,66,327,20.93,Colombia-Sucre-Buenavista,61.34,2309,18.18,88.91
86.29,0,1.18,79,7,107,26.95,Colombia-Cordoba-Buenavista,61.34,5586,32.5,86.29
66.08,0,1.39,2,97,83,30.19,Colombia-Cauca-Buenos_Aires,57.89,7586,42.19,66.08
74.3,0,0.45,5,12,1,19.19,Colombia-Nariño-Buesaco,58.64,5299,22.22,74.3
95.28,3,1.72,12,48,68,14.22,Colombia-Valle_Del_Cauca-Bugalagrande,21.31,3815,12.2,95.31
114.69,0,5.06,52,19,20,22.99,Colombia-Antioquia-Buritica,70.3,1532,31.03,114.69
0.0,0,4.11,22,147,140,25.44,Colombia-Boyaca-Busbanza,57.97,223,50.0,29.6
85.32,0,3.04,83,24,32,17.05,Colombia-Cundinamarca-Cabrera,40.13,1110,20.0,85.32
59.2,0,0.0,91,101,180,18.39,Colombia-Santander-Cabrera,40.13,527,12.5,59.2
131.57,0,7.92,20,69,235,27.65,Colombia-Meta-Cabuyaro,44.0,963,70.0,131.57
0.0,0,0.0,272,179,295,39.63,Colombia-Guainia-Cacahual,100.0,822,16.67,0.0
76.33,0,2.85,64,16,45,23.53,Colombia-Antioquia-Caceres,66.81,10702,76.92,76.33
55.77,0,3.57,132,18,33,12.98,Colombia-Cundinamarca-Cachipay,21.43,2521,23.08,55.81
77.07,0,2.91,119,41,123,11.23,Colombia-Norte_Santander-Cachira,49.2,2708,7.14,77.07
103.86,0,4.33,119,41,123,25.77,Colombia-Norte_Santander-Cacota,52.8,440,21.43,103.86
81.35,0,6.76,52,19,20,20.39,Colombia-Antioquia-Caicedo,63.85,2086,66.67,81.35
80.4,2,3.34,75,20,33,13.35,Colombia-Valle_Del_Cauca-Caicedonia,15.94,5424,4.88,80.4
104.63,0,1.72,79,7,107,26.81,Colombia-Sucre-Caimito,68.06,2893,37.04,104.63
85.27,0,4.93,75,20,33,19.39,Colombia-Tolima-Cajamarca,28.34,4453,20.51,85.27
75.34,0,2.06,22,49,87,21.27,Colombia-Cauca-Cajibio,63.74,9166,38.61,75.34
102.42,0,2.88,132,18,33,11.44,Colombia-Cundinamarca-Cajica,12.74,12375,23.53,103.86
55.93,0,4.31,12,41,27,29.2,Colombia-Guaviare-Calamar,28.52,2512,12.0,55.93
88.43,0,1.1,157,32,191,29.51,Colombia-Bolivar-Calamar,28.52,5989,62.5,88.53
79.67,0,5.69,75,20,33,13.76,Colombia-Quindio-Calarca,14.46,15331,0.0,79.69
87.15,0,1.34,35,53,130,16.52,Colombia-Boyaca-Caldas,13.02,724,23.08,87.15
82.02,1,2.66,52,19,20,9.34,Colombia-Antioquia-Caldas,13.02,14422,85.19,82.23
97.02,0,3.18,22,49,87,27.64,Colombia-Cauca-Caldono,69.87,8729,57.65,97.02
79.36,73,2.01,2,97,83,9.4,Colombia-Valle_Del_Cauca-Cali,11.01,440855,99.41,79.61
66.97,0,0.64,52,66,327,19.41,Colombia-Santander-California,26.64,442,50.0,66.97
100.9,0,2.46,2,97,83,13.51,Colombia-Valle_Del_Cauca-Calima,0.0,2765,13.64,100.9
0.0,0,1.28,2,97,83,27.17,Colombia-Cauca-Caloto,48.72,3790,51.16,0.0
87.17,0,3.93,52,19,20,21.71,Colombia-Antioquia-Campamento,100.0,2073,34.09,87.17
86.51,0,2.04,157,32,191,28.08,Colombia-Atlantico-Campo_de_la_Cruz,62.86,4455,100.0,86.51
82.69,24,7.74,97,24,6,15.32,Colombia-Huila-Campoalegre,26.67,7752,63.04,82.73
52.71,1,1.93,35,53,130,20.6,Colombia-Boyaca-Campohermoso,44.05,960,14.81,52.71
83.02,0,2.29,4,0,41,31.48,Colombia-Cordoba-Canalete,85.95,5358,17.07,83.02
80.49,2,2.54,4,10,68,27.7,Colombia-Antioquia-Cañasgordas,57.09,4132,49.21,80.49
88.72,0,0.92,157,32,191,15.93,Colombia-Atlantico-Candelaria,14.51,3156,100.0,88.78
102.15,2,3.38,2,97,83,13.37,Colombia-Valle_Del_Cauca-Candelaria,14.51,14072,29.03,102.17
84.36,0,3.17,119,41,123,17.15,Colombia-Bolivar-Cantagallo,61.88,2218,9.38,84.36
64.1,0,2.75,108,19,155,29.55,Colombia-Cundinamarca-Caparrapi,53.9,3401,21.52,64.1
92.85,1,1.17,27,165,167,19.13,Colombia-Santander-Capitanejo,46.27,1091,0.0,92.85
97.41,1,3.5,32,56,236,13.14,Colombia-Cundinamarca-Caqueza,30.34,3515,32.26,97.47
78.36,0,1.43,121,21,141,17.05,Colombia-Antioquia-Caracoli,29.93,1012,53.33,78.36
74.84,0,5.76,69,0,20,15.79,Colombia-Antioquia-Caramanta,25.0,1105,30.0,74.84
79.17,0,0.38,27,165,167,39.21,Colombia-Santander-Carcasi,66.71,960,9.68,79.17
88.34,1,4.35,52,19,20,25.94,Colombia-Antioquia-Carepa,43.17,14593,76.32,88.34
106.49,7,2.45,132,18,33,17.36,Colombia-Tolima-Carmen_de_Apicala,28.69,1802,75.0,106.55
74.04,0,0.51,35,53,130,20.51,Colombia-Cundinamarca-Carmen_de_Carupa,39.19,1830,11.54,74.04
0.0,0,8.26,15,0,63,45.15,Colombia-Choco-Carmen_del_Darien,90.67,1558,15.56,0.0
101.54,0,1.95,52,19,20,16.13,Colombia-Antioquia-Carolina,17.42,714,83.33,101.54
96.39,81,3.19,176,3,289,16.44,Colombia-Bolivar-Cartagena_de_Indias,26.01,212927,95.11,96.55
70.55,0,4.52,56,110,11,22.86,Colombia-Caqueta-Cartagena_del_Chaira,51.57,9724,9.09,70.55
85.59,6,0.93,75,20,33,13.81,Colombia-Valle_Del_Cauca-Cartago,15.69,24003,93.02,85.61
77.24,0,8.86,32,444,13,52.66,Colombia-Vaupes-Caruru,100.0,848,11.11,77.24
77.88,0,3.5,69,0,20,22.88,Colombia-Tolima-Casabianca,32.55,1573,18.52,77.88
128.66,1,2.88,16,28,50,21.4,Colombia-Meta-Castilla_la_Nueva,23.42,2163,100.0,128.66
78.95,11,2.83,64,16,45,19.17,Colombia-Antioquia-Caucasia,52.41,27554,65.57,78.95
90.95,0,1.08,27,165,167,36.31,Colombia-Santander-Cepita,47.9,409,7.69,90.95
98.3,1,2.26,79,7,107,25.04,Colombia-Cordoba-Cerete,50.43,19767,54.72,98.42
82.91,0,1.22,22,147,140,15.49,Colombia-Boyaca-Cerinza,26.02,749,8.33,82.91
85.53,0,0.88,27,165,167,23.14,Colombia-Santander-Cerrito,46.15,1272,11.54,85.53
92.19,0,1.61,157,32,191,22.82,Colombia-Magdalena-Cerro_de_San_Antonio,63.73,1945,44.44,92.19
44.29,0,6.97,27,51,62,39.25,Colombia-Choco-Certegui,87.24,2409,50.0,44.29
78.68,0,0.98,5,12,1,16.7,Colombia-Nariño-Chachagüi,0.0,3016,33.33,78.68
61.48,1,0.37,132,18,33,17.45,Colombia-Cundinamarca-Chaguani,44.09,867,29.41,61.48
93.98,0,1.51,85,30,204,29.52,Colombia-Sucre-Chalan,71.03,1080,44.44,93.98
60.61,1,3.44,22,147,140,24.99,Colombia-Casanare-Chameza,46.35,594,20.0,60.61
94.91,5,2.55,60,8,31,24.93,Colombia-Tolima-Chaparral,47.65,12076,8.23,94.92
101.9,0,2.25,91,101,180,16.08,Colombia-Santander-Charala,24.08,2260,7.5,101.9
81.85,0,0.95,52,66,327,16.0,Colombia-Santander-Charta,32.35,496,21.43,81.85
100.65,0,2.77,132,18,33,10.86,Colombia-Cundinamarca-Chia,7.11,25468,100.0,102.01
114.79,0,5.91,157,32,191,26.07,Colombia-Magdalena-Chivolo,72.25,4693,36.36,114.79
76.52,1,6.4,15,0,63,15.69,Colombia-Antioquia-Chigorodo,40.15,19987,57.45,76.52
82.02,0,0.39,85,30,204,23.1,Colombia-Cordoba-Chima,43.94,3454,42.86,82.02
92.49,0,2.1,91,101,180,22.85,Colombia-Santander-Chima,43.94,519,20.0,92.49
100.87,0,3.76,122,55,241,26.48,Colombia-Cesar-Chimichagua,66.64,8881,45.35,100.89
79.73,1,1.03,119,41,123,12.8,Colombia-Norte_Santander-Chinacota,22.92,3656,25.0,79.73
78.41,0,3.07,35,53,130,22.68,Colombia-Boyaca-Chinavita,35.79,704,45.45,78.41
80.68,2,3.84,75,20,33,16.11,Colombia-Caldas-Chinchina,18.58,10766,33.33,80.69
90.11,2,1.6,85,30,204,26.96,Colombia-Cordoba-Chinu,53.78,10080,51.47,90.15
84.32,0,1.89,132,18,33,15.01,Colombia-Cundinamarca-Chipaque,30.34,1907,28.57,84.43
73.94,0,1.44,91,101,180,16.32,Colombia-Santander-Chipata,41.45,994,21.43,73.94
83.64,0,2.61,35,53,130,11.73,Colombia-Boyaca-Chiquinquira,17.87,15593,17.95,83.69
67.45,0,0.43,35,53,130,26.15,Colombia-Boyaca-Chiquiza,49.0,1312,31.25,67.45
120.75,3,3.98,122,55,241,19.84,Colombia-Cesar-Chiriguana,53.52,5335,54.05,120.88
69.01,0,1.44,35,53,130,23.68,Colombia-Boyaca-Chiscas,69.98,981,21.43,69.01
79.96,0,1.25,27,165,167,33.56,Colombia-Boyaca-Chita,81.22,2595,35.71,79.96
68.51,0,0.17,119,41,123,18.39,Colombia-Norte_Santander-Chitaga,52.59,2496,9.3,68.51
86.72,2,0.95,91,101,180,22.96,Colombia-Boyaca-Chitaraque,47.31,1190,25.0,86.72
0.0,0,4.61,35,53,130,21.52,Colombia-Boyaca-Chivata,49.37,1487,0.0,30.73
87.07,0,5.98,32,56,236,19.48,Colombia-Boyaca-Chivor,34.16,441,18.18,87.07
97.77,0,2.29,32,56,236,17.26,Colombia-Cundinamarca-Choachi,24.31,2380,23.33,97.77
78.41,0,1.84,35,53,130,16.39,Colombia-Cundinamarca-Choconta,39.98,5344,32.35,78.41
114.25,0,4.17,146,20,219,22.6,Colombia-Bolivar-Cicuco,60.88,2723,77.78,114.25
93.39,51,2.48,205,13,772,15.34,Colombia-Magdalena-Cienaga,43.81,26779,33.33,93.76
78.17,1,0.95,79,7,107,32.02,Colombia-Cordoba-Cienaga_de_Oro,61.84,15055,56.67,78.17
95.0,0,2.71,35,53,130,16.31,Colombia-Boyaca-Cienega,29.81,1019,9.09,95.0
68.59,0,6.79,91,101,180,21.16,Colombia-Santander-Cimitarra,45.74,10877,21.21,68.59
78.24,0,6.06,75,20,33,13.99,Colombia-Quindio-Circasia,17.23,5612,0.0,78.28
91.75,0,3.65,52,19,20,15.09,Colombia-Antioquia-Cisneros,23.75,1818,100.0,91.75
85.89,3,8.48,27,51,62,15.58,Colombia-Antioquia-Ciudad_Bolivar,29.98,6124,84.85,85.89
86.53,0,2.29,176,3,289,20.15,Colombia-Bolivar-Clemencia,72.06,3340,37.5,86.53
104.07,0,4.73,52,19,20,17.05,Colombia-Antioquia-Cocorna,36.23,2949,82.46,104.07
65.27,0,1.83,132,18,33,28.01,Colombia-Tolima-Coello,45.77,2298,75.0,65.27
79.65,0,3.27,35,53,130,11.77,Colombia-Cundinamarca-Cogua,13.16,4903,63.16,79.71
47.74,1,5.31,83,24,32,23.94,Colombia-Huila-Colombia,64.77,2878,19.61,47.74
69.67,0,1.48,5,12,1,21.49,Colombia-Nariño-Colon,57.41,2173,37.04,69.67
78.87,0,5.43,29,90,281,17.77,Colombia-Putumayo-Colon,57.41,1202,66.67,78.87
122.69,0,1.16,85,30,204,24.72,Colombia-Sucre-Coloso,81.51,1353,56.25,122.69
74.97,0,4.67,35,53,130,22.25,Colombia-Boyaca-Combita,38.4,2329,28.57,75.05
85.32,0,2.42,27,165,167,23.54,Colombia-Santander-Concepcion,25.95,1056,17.24,85.32
129.29,0,2.48,52,19,20,15.04,Colombia-Antioquia-Concepcion,25.95,594,42.11,129.29
130.05,0,7.14,157,32,191,25.84,Colombia-Magdalena-Concordia,39.22,2073,60.0,130.05
73.44,0,5.76,52,19,20,20.92,Colombia-Antioquia-Concordia,39.22,4988,79.07,73.44
80.0,0,5.29,27,51,62,41.67,Colombia-Choco-Condoto,62.58,4159,31.25,80.0
84.14,0,3.7,91,101,180,16.74,Colombia-Santander-Confines,30.13,536,10.0,84.14
91.86,0,0.54,5,12,1,20.46,Colombia-Nariño-Consaca,57.64,1892,31.82,91.86
48.88,0,0.33,19,13,4,20.43,Colombia-Nariño-Contadero,65.45,1741,33.33,48.88
83.01,0,0.94,91,101,180,16.85,Colombia-Santander-Contratacion,29.87,865,36.36,83.01
118.54,0,0.57,119,41,123,13.8,Colombia-Norte_Santander-Convencion,45.1,3226,14.29,118.54
99.96,0,3.26,52,19,20,9.56,Colombia-Antioquia-Copacabana,9.75,12612,91.3,100.02
76.61,0,3.26,35,53,130,20.3,Colombia-Boyaca-Coper,47.03,821,11.54,76.61
101.34,0,7.76,75,20,33,14.19,Colombia-Quindio-Cordoba,70.24,1043,7.69,101.34
109.1,1,3.01,146,20,219,25.88,Colombia-Bolivar-Cordoba,70.24,3275,38.1,109.1
100.26,0,0.31,19,13,4,39.24,Colombia-Nariño-Cordoba,70.24,2715,54.55,100.26
77.08,1,5.64,2,97,83,18.45,Colombia-Cauca-Corinto,53.58,7457,61.22,77.08
59.86,0,0.79,91,101,180,20.48,Colombia-Santander-Coromoro,43.0,1612,16.67,59.86
103.08,11,2.37,85,30,204,16.54,Colombia-Sucre-Corozal,44.84,13475,21.62,103.14
95.45,0,3.58,22,147,140,13.81,Colombia-Boyaca-Corrales,27.95,440,16.67,95.45
0.0,1,2.58,132,18,33,11.52,Colombia-Cundinamarca-Cota,13.88,5193,0.0,0.0
103.09,0,3.27,85,30,204,24.31,Colombia-Cordoba-Cotorra,61.27,3110,75.0,103.15
80.1,0,3.54,27,165,167,32.94,Colombia-Boyaca-Covarachia,79.65,603,5.56,80.1
93.51,3,1.9,85,30,204,33.01,Colombia-Sucre-Coveñas,56.2,3436,42.86,93.68
84.86,2,3.19,60,8,31,38.11,Colombia-Tolima-Coyaima,71.74,7286,40.0,84.86
77.73,0,4.44,146,124,1270,31.96,Colombia-Arauca-Cravo_Norte,53.91,961,23.08,77.73
62.27,0,0.37,19,13,4,27.0,Colombia-Nariño-Cuaspud,56.59,2033,64.29,62.27
62.74,1,0.5,52,66,327,24.98,Colombia-Boyaca-Cubara,58.46,1841,13.04,62.74
94.94,0,5.03,16,28,50,19.97,Colombia-Meta-San_Luis_de_Cubarral,31.17,1344,85.71,94.94
